Ordinal,Type,Added,AST
3,VALUE,2,14
3,VALUE,2,8
2,VAR,48,30
3,VALUE,2,0
3,VALUE,9,5
0,MULTI,9,15
0,MULTI,14,6
3,VALUE,2,1
1,CONTROL,9,52
3,VALUE,4,0
2,VAR,1,3
0,MULTI,8,9
0,MULTI,9,8
1,CONTROL,14,8
0,MULTI,2,8
2,VAR,2,10
3,VALUE,3,9
0,MULTI,12,44
0,MULTI,2,0
1,CONTROL,4,2
2,VAR,1,2
0,MULTI,2,11
3,VALUE,35,14
1,CONTROL,8,2
0,MULTI,2,10
3,VALUE,9,91
0,MULTI,49,31
1,CONTROL,2,24
1,CONTROL,2,32
0,MULTI,1,4
3,VALUE,2,7
2,VAR,6,25
0,MULTI,17,5
3,VALUE,2,121
0,MULTI,2,14
3,VALUE,3,9
2,VAR,1,16
2,VAR,1,3
1,CONTROL,14,22
0,MULTI,9,62
3,VALUE,3,21
2,VAR,14,36
3,VALUE,6,20
3,VALUE,5,41
3,VALUE,1,1
1,CONTROL,17,2
0,MULTI,1,12
2,VAR,1,16
0,MULTI,37,5
3,VALUE,3,2
0,MULTI,4,5
0,MULTI,1,0
0,MULTI,1,3
1,CONTROL,16,4
0,MULTI,5,11
3,VALUE,1,11
2,VAR,5,74
0,MULTI,2,0
1,CONTROL,13,1
0,MULTI,2,32
3,VALUE,5,34
0,MULTI,41,157
3,VALUE,3,4
3,VALUE,3,8
3,VALUE,5,0
0,MULTI,360,159
0,MULTI,11,5
1,CONTROL,2,11
0,MULTI,31,0
0,MULTI,28,9
0,MULTI,177,34
3,VALUE,4,0
0,MULTI,4,35
3,VALUE,11,13
3,VALUE,2,0
3,VALUE,9,0
3,VALUE,1,2
3,VALUE,1,0
3,VALUE,10,0
3,VALUE,1,2
1,CONTROL,28,3
1,CONTROL,34,6
1,CONTROL,1,6
0,MULTI,3,7
0,MULTI,4,2
3,VALUE,1,8
1,CONTROL,185,12
1,CONTROL,10,2
0,MULTI,4,2
3,VALUE,18,1
0,MULTI,26,0
2,VAR,1,8
0,MULTI,6,149
3,VALUE,8,25
2,VAR,1,3
2,VAR,2,26
0,MULTI,12,29
0,MULTI,20,19
1,CONTROL,1,5
3,VALUE,3,4
0,MULTI,2,23
3,VALUE,46,28
0,MULTI,28,2
3,VALUE,16,8
0,MULTI,83,8
3,VALUE,1,6
0,MULTI,5,3
0,MULTI,7,68
2,VAR,1,6
0,MULTI,60,29
1,CONTROL,96,4
1,CONTROL,14,23
2,VAR,1,18
3,VALUE,2,80
3,VALUE,1,0
0,MULTI,2,19
1,CONTROL,22,40
0,MULTI,68,4
0,MULTI,9,25
3,VALUE,7,2
3,VALUE,4,0
3,VALUE,7,22
0,MULTI,6,3
1,CONTROL,1,2
2,VAR,3,9
0,MULTI,25,167
0,MULTI,8,8
2,VAR,18,22
0,MULTI,2,0
0,MULTI,10,2
1,CONTROL,228,39
3,VALUE,2,60
0,MULTI,40,8
2,VAR,6,2
1,CONTROL,12,79
0,MULTI,17,5
3,VALUE,7,12
1,CONTROL,5,11
0,MULTI,8,47
0,MULTI,2,4
1,CONTROL,20,4
3,VALUE,4,0
3,VALUE,1,79
3,VALUE,1,14
0,MULTI,9,3
3,VALUE,2,1
3,VALUE,1,12
1,CONTROL,40,23
2,VAR,3,7
2,VAR,4,21
0,MULTI,1,8
0,MULTI,5,11
3,VALUE,16,55
0,MULTI,23,31
0,MULTI,59,29
2,VAR,5,11
2,VAR,11,41
2,VAR,2,5
0,MULTI,28,0
2,VAR,1,6
0,MULTI,56,57
3,VALUE,3,4
0,MULTI,9,14
3,VALUE,16,2
2,VAR,4,82
3,VALUE,5,5
0,MULTI,1,1
2,VAR,2,41
3,VALUE,4,3
1,CONTROL,29,2
1,CONTROL,4,2
1,CONTROL,12,4
0,MULTI,4,9
2,VAR,6,6
3,VALUE,1,1
2,VAR,1,2
3,VALUE,22,0
2,VAR,2,27
3,VALUE,2,0
0,MULTI,25,4
0,MULTI,10,3
3,VALUE,2,10
1,CONTROL,5,16
2,VAR,3,114
3,VALUE,8,2
0,MULTI,7,67
2,VAR,4,47
0,MULTI,2,9
1,CONTROL,33,1
0,MULTI,4,30
1,CONTROL,126,2
3,VALUE,14,24
0,MULTI,4,8
3,VALUE,1,2
3,VALUE,16,2
3,VALUE,2,10
2,VAR,8,87
3,VALUE,3,0
2,VAR,3,4
3,VALUE,8,0
0,MULTI,7,99
2,VAR,1,6
3,VALUE,1,7
1,CONTROL,6,10
0,MULTI,3,2
2,VAR,3,13
3,VALUE,2,52
0,MULTI,4,123
3,VALUE,1,13
0,MULTI,2,7
3,VALUE,3,88
2,VAR,7,13
2,VAR,4,109
0,MULTI,47,18
2,VAR,6,26
3,VALUE,12,16
2,VAR,20,391
0,MULTI,5,1
2,VAR,2,4
2,VAR,18,56
2,VAR,1,0
0,MULTI,10,76
0,MULTI,10,5
0,MULTI,1,5
3,VALUE,4,22
3,VALUE,2,3
3,VALUE,6,0
3,VALUE,10,7
3,VALUE,4,35
0,MULTI,3,4
0,MULTI,23,11
1,CONTROL,16,4
1,CONTROL,26,2
3,VALUE,2,0
0,MULTI,1,107
0,MULTI,12,8
0,MULTI,39,16
0,MULTI,76,27
2,VAR,1,0
1,CONTROL,4,2
3,VALUE,3,2
0,MULTI,5,4
3,VALUE,1,5
0,MULTI,1,14
3,VALUE,2,3
3,VALUE,3,6
0,MULTI,45,41
3,VALUE,1,51
3,VALUE,1,9
3,VALUE,2,17
3,VALUE,8,19
1,CONTROL,31,4
0,MULTI,35,7
0,MULTI,22,10
3,VALUE,5,0
0,MULTI,8,12
0,MULTI,2,10
1,CONTROL,4,26
0,MULTI,5,0
3,VALUE,2,2
0,MULTI,30,2
0,MULTI,1,1
1,CONTROL,21,30
2,VAR,4,22
0,MULTI,7,4
