Ordinal,Type,Added,AST
1,CONTROL,59,26
2,VAR,2,26
3,VALUE,35,26
0,MULTI,6,6
3,VALUE,6,6
0,MULTI,78,14
1,CONTROL,78,14
0,MULTI,14,6
3,VALUE,14,6
0,MULTI,8,0
3,VALUE,8,0
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,3,28
2,VAR,3,28
3,VALUE,3,28
0,MULTI,3,2
3,VALUE,3,2
0,MULTI,21,13
3,VALUE,21,13
0,MULTI,2,12
2,VAR,2,12
3,VALUE,2,12
0,MULTI,76,27
1,CONTROL,41,27
3,VALUE,35,27
0,MULTI,2,4
3,VALUE,2,4
0,MULTI,4,2
1,CONTROL,4,2
3,VALUE,2,2
0,MULTI,90,93
1,CONTROL,85,93
2,VAR,5,93
3,VALUE,28,93
0,MULTI,6,68
2,VAR,6,68
3,VALUE,3,68
0,MULTI,32,63
2,VAR,17,63
3,VALUE,26,63
0,MULTI,2,2
2,VAR,2,2
3,VALUE,2,2
0,MULTI,6,27
1,CONTROL,6,27
0,MULTI,4,2
3,VALUE,4,2
0,MULTI,27,4
1,CONTROL,27,4
0,MULTI,18,4
1,CONTROL,18,4
0,MULTI,36,12
1,CONTROL,8,12
3,VALUE,28,12
0,MULTI,6,3
3,VALUE,6,3
0,MULTI,10,157
2,VAR,6,157
3,VALUE,7,157
0,MULTI,5,7
2,VAR,1,7
3,VALUE,5,7
0,MULTI,1,2
1,CONTROL,1,2
0,MULTI,20,434
2,VAR,20,434
3,VALUE,12,434
0,MULTI,8,0
3,VALUE,8,0
0,MULTI,15,78
1,CONTROL,2,78
3,VALUE,15,78
0,MULTI,3,30
2,VAR,3,30
3,VALUE,2,30
0,MULTI,10,0
3,VALUE,10,0
0,MULTI,126,2
1,CONTROL,126,2
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,18,14
3,VALUE,18,14
0,MULTI,1,20
2,VAR,1,20
3,VALUE,1,20
0,MULTI,12,20
2,VAR,11,20
3,VALUE,12,20
0,MULTI,12,8
2,VAR,10,8
3,VALUE,2,8
0,MULTI,322,8
3,VALUE,322,8
0,MULTI,17,32
1,CONTROL,17,32
3,VALUE,14,32
0,MULTI,5,26
1,CONTROL,2,26
3,VALUE,5,26
0,MULTI,9,0
3,VALUE,9,0
0,MULTI,14,8
1,CONTROL,14,8
0,MULTI,1,0
2,VAR,1,0
3,VALUE,1,0
0,MULTI,87,5
3,VALUE,87,5
0,MULTI,90,8
3,VALUE,90,8
0,MULTI,3,0
3,VALUE,3,0
0,MULTI,1,4
2,VAR,1,4
0,MULTI,8,5
2,VAR,2,5
3,VALUE,8,5
0,MULTI,8,87
2,VAR,2,87
3,VALUE,8,87
